z,x,y,before_feature_coordinate_count,before_overflow,before_coordinate_count,before_tile_bytes,after_feature_coordinate_count,after_overflow,after_coordinate_count,after_coordinate_count_unbounded,after_truncated,after_feature_count,after_tile_bytes,after_seconds
0,0,0,4962,0,52729,0,5828,0,114377,114377,False,69,119288,3.731
1,1,0,4962,0,52729,0,5828,0,114377,114377,False,69,210915,3.347
2,3,0,0,0,0,0,0,0,0,0,False,0,0,0.005
2,3,1,4962,0,51651,0,5828,0,111163,111163,False,63,298112,3.238
3,5,2,317,0,317,1147,317,0,535,535,False,2,1787,0.170
3,5,3,481,0,761,2605,1116,0,2679,2679,False,4,8422,0.104
3,6,2,2743,0,9641,30253,5828,0,25069,25069,False,17,76821,0.957
3,6,3,4962,0,42024,129690,4962,0,86160,86160,False,56,260137,2.525
4,11,5,317,0,317,1135,317,0,535,535,False,2,1776,0.037
4,11,6,481,0,761,2653,1116,0,2679,2679,False,4,8597,0.098
4,11,7,0,0,0,0,0,0,0,0,False,0,0,0.004
4,12,5,206,0,404,1570,308,0,712,712,False,3,2499,0.030
4,12,6,4962,0,27603,86471,4962,0,52458,52458,False,32,161199,1.449
4,12,7,0,0,0,0,0,0,0,0,False,0,0,0.005
4,13,5,2743,0,9237,29183,5828,0,24357,24357,False,14,75441,0.859
4,13,6,2692,0,14435,45548,3086,0,33758,33758,False,32,104469,0.889
4,13,7,0,0,0,0,0,0,0,0,False,0,0,0.005
5,22,10,0,0,0,0,0,0,0,0,False,0,0,0.004
5,22,11,0,0,0,0,0,0,0,0,False,0,0,0.004
5,22,12,844,0,1669,5428,1516,0,3235,3235,False,5,10125,0.109
5,22,13,0,0,0,0,0,0,0,0,False,0,0,0.004
5,22,14,0,0,0,0,0,0,0,0,False,0,0,0.004
5,23,10,0,0,0,0,0,0,0,0,False,0,0,0.004
5,23,11,369,0,599,1928,888,0,1541,1541,False,4,4776,0.069
5,23,12,876,0,1192,3949,876,0,2140,2140,False,5,6778,0.066
5,23,13,0,0,0,0,0,0,0,0,False,0,0,0.004
5,23,14,0,0,0,0,0,0,0,0,False,0,0,0.004
5,24,10,0,0,0,0,0,0,0,0,False,0,0,0.004
5,24,11,206,0,206,822,206,0,206,206,False,1,822,0.011
5,24,12,2192,0,6219,19512,2995,0,11715,11715,False,13,35438,0.315
5,24,13,44,0,44,331,130,0,174,174,False,2,733,0.010
5,24,14,0,0,0,0,0,0,0,0,False,0,0,0.004
5,25,10,0,0,0,0,0,0,0,0,False,0,0,0.004
5,25,11,312,0,520,1832,1192,0,1712,1712,False,3,5206,0.050
5,25,12,4356,0,27727,85207,5363,0,53432,53432,False,31,160176,1.387
5,25,13,3401,0,19756,60932,4367,0,37922,37922,False,24,113722,0.888
5,25,14,0,0,0,0,0,0,0,0,False,0,0,0.005
5,26,10,718,0,936,3001,770,0,1706,1706,False,3,5172,0.061
5,26,11,2840,0,11533,35138,5454,0,22930,22930,False,13,67836,0.716
5,26,12,3086,0,25686,79811,4929,0,49315,49315,False,37,149383,1.176
5,26,13,2952,0,8156,25372,4427,0,16313,16313,False,15,48948,0.437
5,26,14,0,0,0,0,0,0,0,0,False,0,0,0.005
5,27,10,1397,0,2281,6732,1505,0,3786,3786,False,3,11062,0.127
5,27,11,2838,0,12723,38017,5185,0,24542,24542,False,15,70877,0.791
5,27,12,572,0,948,2918,1058,0,2009,2009,False,4,5752,0.065
5,27,13,0,0,0,0,0,0,0,0,False,0,0,0.004
5,27,14,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,20,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,21,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,22,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,23,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,24,1942,0,3855,11115,2892,0,6820,6820,False,6,19198,0.192
6,45,25,356,0,420,1462,483,0,903,903,False,3,2617,0.029
6,45,26,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,27,0,0,0,0,0,0,0,0,False,0,0,0.004
6,45,28,0,0,0,0,0,0,0,0,False,0,0,0.004
6,46,20,0,0,0,0,0,0,0,0,False,0,0,0.004
