z,x,y,feature_count,feature_coordinate_count,feature_coordinate_overflow_count,coordinate_count,coordinate_count_unbounded,truncated,tile_bytes,seconds
3,5,2,2,317,0,535,535,False,1787,0.2478
3,5,3,4,1116,0,2679,2679,False,8422,0.1189
3,6,2,17,5828,0,25069,25069,False,76641,1.3585
3,6,3,56,4962,0,86008,86008,False,248347,3.0874
4,11,5,2,317,0,535,535,False,1776,0.0356
4,11,6,4,1116,0,2679,2679,False,8597,0.0966
4,11,7,0,0,0,0,0,False,0,0.0033
4,12,5,3,308,0,712,712,False,2319,0.0289
4,12,6,33,4962,0,52331,52331,False,149416,1.4766
4,12,7,0,0,0,0,0,False,0,0.0038
4,13,5,14,5828,0,24357,24357,False,75441,0.8692
4,13,6,32,3086,0,33737,33737,False,104129,0.8938
4,13,7,0,0,0,0,0,False,0,0.0038
5,22,10,0,0,0,0,0,False,0,0.0033
5,22,11,0,0,0,0,0,False,0,0.0033
5,22,12,5,1516,0,3235,3235,False,10125,0.1102
5,22,13,0,0,0,0,0,False,0,0.0033
5,22,14,0,0,0,0,0,False,0,0.0033
5,23,10,0,0,0,0,0,False,0,0.0031
5,23,11,4,888,0,1541,1541,False,4776,0.068
5,23,12,5,876,0,2140,2140,False,6778,0.0651
5,23,13,0,0,0,0,0,False,0,0.0033
5,23,14,0,0,0,0,0,False,0,0.0033
5,24,10,0,0,0,0,0,False,0,0.0033
5,24,11,1,206,0,206,206,False,822,0.0103
5,24,12,14,2830,0,11468,11468,False,31622,0.3147
5,24,13,2,130,0,174,174,False,733,0.0093
5,24,14,0,0,0,0,0,False,0,0.0033
5,25,10,0,0,0,0,0,False,0,0.0033
5,25,11,3,1162,0,1682,1682,False,4581,0.05
5,25,12,32,5199,0,52824,52824,False,142594,1.4253
5,25,13,24,4367,0,37922,37922,False,113722,0.8957
5,25,14,0,0,0,0,0,False,0,0.0038
5,26,10,3,770,0,1706,1706,False,5172,0.06
5,26,11,13,5454,0,22930,22930,False,67836,0.7159
5,26,12,37,4929,0,49275,49275,False,148784,1.1852
5,26,13,15,4427,0,16313,16313,False,48948,0.437
5,26,14,0,0,0,0,0,False,0,0.0038
5,27,10,3,1505,0,3786,3786,False,11062,0.127
5,27,11,15,5185,0,24542,24542,False,70877,0.8105
5,27,12,4,1058,0,2009,2009,False,5752,0.0656
5,27,13,0,0,0,0,0,False,0,0.0034
5,27,14,0,0,0,0,0,False,0,0.0033
6,45,20,0,0,0,0,0,False,0,0.0033
6,45,21,0,0,0,0,0,False,0,0.0033
6,45,22,0,0,0,0,0,False,0,0.0033
6,45,23,0,0,0,0,0,False,0,0.0033
6,45,24,6,2892,0,6820,6820,False,19198,0.1865
6,45,25,3,483,0,903,903,False,2617,0.0287
6,45,26,0,0,0,0,0,False,0,0.0033
6,45,27,0,0,0,0,0,False,0,0.0033
6,45,28,0,0,0,0,0,False,0,0.0033
6,46,20,0,0,0,0,0,False,0,0.0033
6,46,21,0,0,0,0,0,False,0,0.0033
6,46,22,0,0,0,0,0,False,0,0.0033
6,46,23,6,2128,0,4349,4349,False,11505,0.129
6,46,24,7,580,0,1740,1740,False,5300,0.0481
6,46,25,6,1091,0,2774,2774,False,7727,0.0727
6,46,26,0,0,0,0,0,False,0,0.0033
6,46,27,0,0,0,0,0,False,0,0.0033
6,46,28,0,0,0,0,0,False,0,0.0033
6,47,20,0,0,0,0,0,False,0,0.0033
6,47,21,0,0,0,0,0,False,0,0.0033
6,47,22,0,0,0,0,0,False,0,0.0033
6,47,23,0,0,0,0,0,False,0,0.0121
6,47,24,0,0,0,0,0,False,0,0.0033
6,47,25,0,0,0,0,0,False,0,0.0033
6,47,26,0,0,0,0,0,False,0,0.0033
6,47,27,0,0,0,0,0,False,0,0.0033
6,47,28,0,0,0,0,0,False,0,0.0033
6,48,20,0,0,0,0,0,False,0,0.0033
6,48,21,0,0,0,0,0,False,0,0.0033
6,48,22,0,0,0,0,0,False,0,0.0033
6,48,23,0,0,0,0,0,False,0,0.0033
6,48,24,0,0,0,0,0,False,0,0.0033
6,48,25,0,0,0,0,0,False,0,0.0033
6,48,26,0,0,0,0,0,False,0,0.0033
6,48,27,0,0,0,0,0,False,0,0.0033
6,48,28,0,0,0,0,0,False,0,0.0033
6,49,20,0,0,0,0,0,False,0,0.0033
6,49,21,0,0,0,0,0,False,0,0.0033
6,49,22,0,0,0,0,0,False,0,0.0033
6,49,23,2,270,0,280,280,False,1047,0.0113
6,49,24,11,2588,0,9838,9838,False,27200,0.2489
6,49,25,12,6075,0,15080,15080,False,38027,0.3678
6,49,26,3,152,0,295,295,False,1032,0.0128
6,49,27,0,0,0,0,0,False,0,0.0033
6,49,28,0,0,0,0,0,False,0,0.0033
6,50,20,0,0,0,0,0,False,0,0.0033
6,50,21,0,0,0,0,0,False,0,0.0033
6,50,22,0,0,0,0,0,False,0,0.0033
6,50,23,1,55,0,55,55,False,390,0.005
6,50,24,11,4177,0,11139,11139,False,28274,0.2652
6,50,25,27,7744,0,39854,39854,False,105902,0.8935
6,50,26,12,6613,0,30400,30400,False,82107,0.6882
6,50,27,4,1163,0,2223,2223,False,5886,0.0614
6,50,28,0,0,0,0,0,False,0,0.0033
6,51,20,0,0,0,0,0,False,0,0.0033
6,51,21,0,0,0,0,0,False,0,0.0033
6,51,22,0,0,0,0,0,False,0,0.0033
6,51,23,4,2756,0,4766,4766,False,12247,0.1109
6,51,24,19,6288,0,30498,30498,False,77851,0.7283
6,51,25,21,7911,0,40934,40934,False,105445,0.9761
6,51,26,28,6871,0,35739,35739,False,99965,0.8502
6,51,27,15,3699,0,16207,16207,False,46314,0.3154
6,51,28,0,0,0,0,0,False,0,0.0035
6,52,20,0,0,0,0,0,False,0,0.0031
6,52,21,0,0,0,0,0,False,0,0.0031
6,52,22,0,0,0,0,0,False,0,0.0031
6,52,23,9,1991,0,8320,8320,False,23877,0.1766
6,52,24,27,8562,0,56336,56336,False,164552,1.1847
6,52,25,21,10126,0,39833,39833,False,108080,1.0013
6,52,26,20,7440,0,25232,25232,False,67230,0.6196
