              now              |     chunk_name     |       range_end        | is_compressed 
-------------------------------+--------------------+------------------------+---------------
 2026-09-19 02:10:00.669459+00 | _hyper_9_181_chunk | 2026-09-25 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_175_chunk | 2026-09-24 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_170_chunk | 2026-09-23 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_142_chunk | 2026-09-22 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_136_chunk | 2026-09-21 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_135_chunk | 2026-09-20 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_134_chunk | 2026-09-19 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_133_chunk | 2026-09-18 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_132_chunk | 2026-09-17 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_131_chunk | 2026-09-16 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_130_chunk | 2026-09-15 00:00:00+00 | t
 2026-09-19 02:10:00.669459+00 | _hyper_9_141_chunk | 2026-09-14 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_143_chunk | 2026-09-13 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_165_chunk | 2026-09-12 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_164_chunk | 2026-09-11 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_163_chunk | 2026-09-10 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_162_chunk | 2026-09-09 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_161_chunk | 2026-09-08 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_160_chunk | 2026-09-07 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_159_chunk | 2026-09-06 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_158_chunk | 2026-09-05 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_157_chunk | 2026-09-04 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_156_chunk | 2026-09-03 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_155_chunk | 2026-09-02 00:00:00+00 | f
 2026-09-19 02:10:00.669459+00 | _hyper_9_154_chunk | 2026-09-01 00:00:00+00 | t
 2026-09-19 02:10:00.669459+00 | _hyper_9_153_chunk | 2026-08-31 00:00:00+00 | t
 2026-09-19 02:10:00.669459+00 | _hyper_9_152_chunk | 2026-08-30 00:00:00+00 | t
 2026-09-19 02:10:00.669459+00 | _hyper_9_151_chunk | 2026-08-29 00:00:00+00 | t
 2026-09-19 02:10:00.669459+00 | _hyper_9_150_chunk | 2026-08-28 00:00:00+00 | t
(29 rows)

